instrument,theme,subtheme
NVIDIA CORP,AI Infrastructure,Semiconductors
MICRON TECH,AI Infrastructure,Memory
FORMFACTOR INC,Semiconductors,Test Equipment
CREDO TECHNOLOGY GROUP HOLDI,AI Infrastructure,Connectivity
VERTIV HOLDINGS,Data Centres,Power and Cooling
COMFORT SYSTEMS,Data Centres,Mechanical and Electrical
QUANTA SERVICES,Electrification,Grid Infrastructure
GE VERNOVA LLC,Electrification,Grid and Power
CAMECO CORP,Nuclear,Uranium
ELBIT SYSTEMS,Defence,Aerospace and Defence
KRATOS DEFENSE &,Defence,Aerospace and Defence
Howmet Aerospace Inc,Aerospace,Aerospace Components
KRAKEN ROBOTICS INC,Robotics,Marine Robotics
ROBINHOOD MARK-A,Fintech,Brokerage
INTERACTIVE BROK,Fintech,Brokerage
INAV - USD.CASH,Cash,USD Cash
INAV - ZAR.CASH,Cash,ZAR Cash
