fund_code,nav_zac,nav_date,source_url,captured_at_utc
EASYAI,10692.74,2026-05-09,https://etfs.easyequities.co.za/easyetf-instrument-page/easyai,2026-05-09T23:05:20Z
EASYAI,10692.74,2026-05-10,https://etfs.easyequities.co.za/easyetf-instrument-page/easyai,2026-05-10T04:15:36Z
EASYAI,10899.66,2026-05-11,https://etfs.easyequities.co.za/easyetf-instrument-page/easyai,2026-05-11T08:36:46Z
EASYAI,11494.01,2026-05-12,https://etfs.easyequities.co.za/easyetf-instrument-page/easyai,2026-05-12T07:43:31Z
EASYAI,11274.39,2026-05-13,https://etfs.easyequities.co.za/easyetf-instrument-page/easyai,2026-05-13T11:37:33Z
EASYAI,11428.89,2026-05-14,https://etfs.easyequities.co.za/easyetf-instrument-page/easyai,2026-05-14T09:33:37Z
EASYBF,1474.14,2026-05-09,https://etfs.easyequities.co.za/easyetf-instrument-page/easybf,2026-05-09T23:05:20Z
EASYBF,1474.14,2026-05-10,https://etfs.easyequities.co.za/easyetf-instrument-page/easybf,2026-05-10T04:15:36Z
EASYBF,1463.9,2026-05-11,https://etfs.easyequities.co.za/easyetf-instrument-page/easybf,2026-05-11T08:36:46Z
EASYBF,1493.43,2026-05-12,https://etfs.easyequities.co.za/easyetf-instrument-page/easybf,2026-05-12T07:43:31Z
EASYBF,1486.29,2026-05-13,https://etfs.easyequities.co.za/easyetf-instrument-page/easybf,2026-05-13T11:37:33Z
EASYBF,1493.24,2026-05-14,https://etfs.easyequities.co.za/easyetf-instrument-page/easybf,2026-05-14T09:33:37Z
EASYGE,1777.88,2026-05-09,https://etfs.easyequities.co.za/easyetf-instrument-page/easyge,2026-05-09T23:05:20Z
EASYGE,1777.88,2026-05-10,https://etfs.easyequities.co.za/easyetf-instrument-page/easyge,2026-05-10T04:15:36Z
EASYGE,1809.45,2026-05-11,https://etfs.easyequities.co.za/easyetf-instrument-page/easyge,2026-05-11T08:36:46Z
EASYGE,1899.97,2026-05-12,https://etfs.easyequities.co.za/easyetf-instrument-page/easyge,2026-05-12T07:43:31Z
EASYGE,1877.29,2026-05-13,https://etfs.easyequities.co.za/easyetf-instrument-page/easyge,2026-05-13T11:37:33Z
EASYGE,1897.58,2026-05-14,https://etfs.easyequities.co.za/easyetf-instrument-page/easyge,2026-05-14T09:33:37Z
