date,instrument,ticker,yfinance_ticker,currency,close,source,updated_at_utc
2026-05-08,LUMENTUM HOL,LITE,LITE,USD,903.7999877929688,yfinance,2026-05-09T15:10:31Z
2026-05-08,COMFORT SYSTEMS,FIX,FIX,USD,1952.3699951171875,yfinance,2026-05-09T15:10:32Z
2026-05-08,BLOOM ENERGY C-A,BE,BE,USD,261.0299987792969,yfinance,2026-05-09T15:10:33Z
2026-05-08,NVIDIA CORP,NVDA,NVDA,USD,215.1999969482422,yfinance,2026-05-09T15:10:35Z
2026-05-08,FORMFACTOR INC,FORM,FORM,USD,147.8699951171875,yfinance,2026-05-09T15:10:36Z
2026-05-08,CIENA CORP,CIEN,CIEN,USD,548.1099853515625,yfinance,2026-05-09T15:10:37Z
2026-05-08,COHERENT CORP,COHR,COHR,USD,335.260009765625,yfinance,2026-05-09T15:10:38Z
2026-05-08,ARGAN INC,AGX,AGX,USD,680.260009765625,yfinance,2026-05-09T15:10:40Z
2026-05-08,MICRON TECH,MU,MU,USD,746.8099975585938,yfinance,2026-05-09T15:10:41Z
2026-05-08,ADV ENERGY INDS,AEIS,AEIS,USD,357.239990234375,yfinance,2026-05-09T15:10:42Z
2026-05-08,VERTIV HOLDINGS,VRT,VRT,USD,339.9700012207031,yfinance,2026-05-09T15:10:43Z
2026-05-08,QUANTA SERVICES,PWR,PWR,USD,745.0,yfinance,2026-05-09T15:10:45Z
2026-05-08,CREDO TECHNOLOGY GROUP HOLDI,CRDO,CRDO,USD,188.5050048828125,yfinance,2026-05-09T15:10:46Z
2026-05-08,GRAHAM CORP,GHM,GHM,USD,98.19000244140625,yfinance,2026-05-09T15:10:48Z
2026-05-08,CAMECO CORP,CCJ,CCJ,USD,116.75,yfinance,2026-05-09T15:10:49Z
2026-05-08,GE VERNOVA LLC,GEV,GEV,USD,1040.1500244140625,yfinance,2026-05-09T15:10:50Z
2026-05-08,META PLATFORMS-A,META,META,USD,609.6300048828125,yfinance,2026-05-09T15:10:52Z
2026-05-08,NEBIUS GROUP NV,NBIS,NBIS,USD,177.0500030517578,yfinance,2026-05-09T15:10:53Z
2026-05-08,ELBIT SYSTEMS,ESLT,ESLT,USD,782.2100219726562,yfinance,2026-05-09T15:10:54Z
2026-05-08,NLIGHT INC,LASR,LASR,USD,73.91000366210938,yfinance,2026-05-09T15:10:55Z
2026-05-08,GENERAL ELECTRIC,GE,GE,USD,297.1499938964844,yfinance,2026-05-09T15:10:57Z
2026-05-08,CARPENTER TECH,CRS,CRS,USD,427.8500061035156,yfinance,2026-05-09T15:11:00Z
2026-05-08,ALLEGHENY TECH,ATI,ATI,USD,158.38999938964844,yfinance,2026-05-09T15:11:02Z
2026-05-08,Howmet Aerospace Inc,HWM,HWM,USD,270.55999755859375,yfinance,2026-05-09T15:11:03Z
2026-05-08,APPLOVIN CO-CL A,APP,APP,USD,468.54998779296875,yfinance,2026-05-09T15:11:04Z
2026-05-08,INTERACTIVE BROK,IBKR,IBKR,USD,84.41999816894531,yfinance,2026-05-09T15:11:06Z
2026-05-08,KARMAN HOLDINGS INC,KRMN,KRMN,USD,60.84000015258789,yfinance,2026-05-09T15:11:07Z
2026-05-08,ROBINHOOD MARK-A,HOOD,HOOD,USD,77.02999877929688,yfinance,2026-05-09T15:11:08Z
2026-05-08,BWX TECHNOLOGIES,BWXT,BWXT,USD,205.3300018310547,yfinance,2026-05-09T15:11:10Z
2026-05-08,KRATOS DEFENSE &,KTOS,KTOS,USD,57.88999938964844,yfinance,2026-05-09T15:11:11Z
2026-05-08,KRAKEN ROBOTICS INC,PNG.V,PNG.V,CAD,6.960000038146973,yfinance,2026-05-09T15:11:12Z
