description,ccy,etf_contract_code,percentage
COMFORT SYSTEMS,USD,EASYAI,6.29
ADV ENERGY INDS,USD,EASYAI,2.73
QUANTA SERVICES,USD,EASYAI,2.70
AXT INC,USD,EASYAI,2.75
NVIDIA CORP,USD,EASYAI,7.65
MKS INC,USD,EASYAI,1.74
INTEL CORP,USD,EASYAI,2.59
ON Semiconductor Corp,USD,EASYAI,2.74
CAMTEK LTD,USD,EASYAI,2.03
MICRON TECH,USD,EASYAI,5.28
TTM TECHNOLOGIES,USD,EASYAI,1.34
ARGAN INC,USD,EASYAI,2.21
TERADYNE INC,USD,EASYAI,2.92
FORMFACTOR INC,USD,EASYAI,4.81
VICOR CORP,USD,EASYAI,3.93
AIXTRON SE,EUR,EASYAI,1.51
MONOLITHIC POWER,USD,EASYAI,1.84
CIENA CORP,USD,EASYAI,2.03
FABRINET,USD,EASYAI,2.22
NEBIUS GROUP NV,USD,EASYAI,2.29
SUSS MICROTEC SE,EUR,EASYAI,1.22
BLOOM ENERGY C-A,USD,EASYAI,5.00
ONTO INNOVATION,USD,EASYAI,3.14
VERTIV HOLDINGS,USD,EASYAI,1.53
CREDO TECHNOLOGY GROUP HOLDI,USD,EASYAI,2.36
ASTERA LABS INC,USD,EASYAI,2.95
COHERENT CORP,USD,EASYAI,4.36
GE VERNOVA LLC,USD,EASYAI,4.13
LUMENTUM HOL,USD,EASYAI,8.57
INAV - EUR.CASH,EUR,EASYAI,0.00
INAV - USD.CASH,USD,EASYAI,4.58
INAV - ZAR.CASH,ZAR,EASYAI,0.42
