description,ccy,etf_contract_code,percentage
Anglo American Plc,ZAR,EASYBF,1.73
ANGLOGOLD ASHANTI PLC,ZAR,EASYBF,2.75
ANHEUSER-BUSCH INBEV SA/NV,ZAR,EASYBF,0.49
BHP GROUP LTD,ZAR,EASYBF,2.57
BOXER RETAIL LTD,ZAR,EASYBF,1.23
CIE FINANCIERE R,ZAR,EASYBF,0.94
CAPITEC LIMITED,ZAR,EASYBF,4.71
AI ACTIVELY MANAGED ETF,ZAR,EASYBF,18.4
EGE ACTIVELY MANAGED ETF,ZAR,EASYBF,18.8
Fortress Real Estate Investments Limited B,ZAR,EASYBF,2.06
New Gold Issuer Ltd,ZAR,EASYBF,8.09
Glencore Xstrata Plc,ZAR,EASYBF,1.76
Grindrod Ltd,ZAR,EASYBF,2.04
Investec Plc,ZAR,EASYBF,0.64
Lewis Group Ltd,ZAR,EASYBF,1.01
MTN Group Ltd,ZAR,EASYBF,0.59
Ninety One Plc,ZAR,EASYBF,0.56
Naspers Ltd - N Shares,ZAR,EASYBF,1.20
NINETY ONE LTD,ZAR,EASYBF,0.65
Pan African Resource,ZAR,EASYBF,3.57
Purple Group Ltd,ZAR,EASYBF,0.87
Resilient Property Income Fund Ltd,ZAR,EASYBF,1.92
SOUTHERN SUN LTD,ZAR,EASYBF,0.40
Satrix SA Bond Portfolio,ZAR,EASYBF,12.9
SATRIX GOVI ETF,ZAR,EASYBF,0.72
SATRIX NAS 100,ZAR,EASYBF,4.79
Vukile Property Fund Ltd,ZAR,EASYBF,2.07
INAV - ZAR.CASH,ZAR,EASYBF,2.25
