description,ccy,etf_contract_code,percentage
COMFORT SYSTEMS,USD,EASYGE,6.05
ADV ENERGY INDS,USD,EASYGE,2.87
QUANTA SERVICES,USD,EASYGE,2.50
CAMECO CORP,USD,EASYGE,1.62
CARPENTER TECH,USD,EASYGE,2.06
ELBIT SYSTEMS,USD,EASYGE,1.69
NVIDIA CORP,USD,EASYGE,4.61
GRAHAM CORP,USD,EASYGE,2.74
STMICROELECTR-NY,USD,EASYGE,1.46
ATI INC,USD,EASYGE,1.81
MICRON TECH,USD,EASYGE,5.34
TTM TECHNOLOGIES,USD,EASYGE,1.88
ARGAN INC,USD,EASYGE,4.08
FORMFACTOR INC,USD,EASYGE,4.18
AIXTRON SE,EUR,EASYGE,2.14
INFINEON TECH,EUR,EASYGE,2.90
MONOLITHIC POWER,USD,EASYGE,1.17
CIENA CORP,USD,EASYGE,4.26
INTERACTIVE BROK,USD,EASYGE,1.27
NEBIUS GROUP NV,USD,EASYGE,2.14
KRAKEN ROBOTICS INC,USD,EASYGE,0.47
BLOOM ENERGY C-A,USD,EASYGE,5.00
NLIGHT INC,USD,EASYGE,1.87
Howmet Aerospace Inc,USD,EASYGE,1.47
VERTIV HOLDINGS,USD,EASYGE,3.00
GENERAL ELECTRIC,USD,EASYGE,2.13
CREDO TECHNOLOGY GROUP HOLDI,USD,EASYGE,3.54
COHERENT CORP,USD,EASYGE,4.78
ROBINHOOD MARK-A,USD,EASYGE,1.21
GE VERNOVA LLC,USD,EASYGE,2.06
KARMAN HOLDINGS INC,USD,EASYGE,0.85
LUMENTUM HOL,USD,EASYGE,7.20
BWX TECHNOLOGIES,USD,EASYGE,0.73
SOITEC Designs,EUR,EASYGE,0.86
INAV - EUR.CASH,EUR,EASYGE,0.10
INAV - USD.CASH,USD,EASYGE,7.27
INAV - ZAR.CASH,ZAR,EASYGE,0.50
