snapshot_date,instrument,currency,weight,ticker,theme,subtheme
2026-05-08,LUMENTUM HOL,USD,9.74,LITE,Unmapped,Unmapped
2026-05-08,COMFORT SYSTEMS,USD,7.18,FIX,Data Centres,Mechanical and Electrical
2026-05-08,INAV - USD.CASH,USD,5.86,CASH_USD,Cash,USD Cash
2026-05-08,BLOOM ENERGY C-A,USD,5.68,BE,Unmapped,Unmapped
2026-05-08,NVIDIA CORP,USD,5.57,NVDA,AI Infrastructure,Semiconductors
2026-05-08,FORMFACTOR INC,USD,5.53,FORM,Semiconductors,Test Equipment
2026-05-08,CIENA CORP,USD,5.35,CIEN,Unmapped,Unmapped
2026-05-08,COHERENT CORP,USD,5.05,COHR,Unmapped,Unmapped
2026-05-08,ARGAN INC,USD,4.79,AGX,Unmapped,Unmapped
2026-05-08,MICRON TECH,USD,3.79,MU,AI Infrastructure,Memory
2026-05-08,ADV ENERGY INDS,USD,3.52,AEIS,Unmapped,Unmapped
2026-05-08,VERTIV HOLDINGS,USD,3.44,VRT,Data Centres,Power and Cooling
2026-05-08,QUANTA SERVICES,USD,3.06,PWR,Electrification,Grid Infrastructure
2026-05-08,CREDO TECHNOLOGY GROUP HOLDI,USD,2.78,CRDO,AI Infrastructure,Connectivity
2026-05-08,GRAHAM CORP,USD,2.66,GHM,Unmapped,Unmapped
2026-05-08,CAMECO CORP,USD,2.15,CCJ,Nuclear,Uranium
2026-05-08,GE VERNOVA LLC,USD,2.12,GEV,Electrification,Grid and Power
2026-05-08,META PLATFORMS-A,USD,2.04,META,Unmapped,Unmapped
2026-05-08,NEBIUS GROUP NV,USD,1.93,NBIS,Unmapped,Unmapped
2026-05-08,ELBIT SYSTEMS,USD,1.92,ESLT,Defence,Aerospace and Defence
2026-05-08,NLIGHT INC,USD,1.84,LASR,Unmapped,Unmapped
2026-05-08,GENERAL ELECTRIC,USD,1.82,GE,Unmapped,Unmapped
2026-05-08,CARPENTER TECH,USD,1.7,CRS,Unmapped,Unmapped
2026-05-08,ALLEGHENY TECH,USD,1.69,ATI,Unmapped,Unmapped
2026-05-08,Howmet Aerospace Inc,USD,1.59,HWM,Aerospace,Aerospace Components
2026-05-08,APPLOVIN CO-CL A,USD,1.29,APP,Unmapped,Unmapped
2026-05-08,INTERACTIVE BROK,USD,1.22,IBKR,Fintech,Brokerage
2026-05-08,KARMAN HOLDINGS INC,USD,1.1,KRMN,Unmapped,Unmapped
2026-05-08,ROBINHOOD MARK-A,USD,0.88,HOOD,Fintech,Brokerage
2026-05-08,BWX TECHNOLOGIES,USD,0.88,BWXT,Unmapped,Unmapped
2026-05-08,KRATOS DEFENSE &,USD,0.59,KTOS,Defence,Aerospace and Defence
2026-05-08,KRAKEN ROBOTICS INC,USD,0.55,PNG.V,Robotics,Marine Robotics
2026-05-08,INAV - ZAR.CASH,ZAR,0.51,CASH_ZAR,Cash,ZAR Cash
